kick	E:\samples\Antinomy Psytrance Sounds Vol.2 WAV MiDi-ARCADiA\ANTINOMY_01_Kicks\ANTINOMY_01_Kick.wav	Antinomy-Psy-Vol2	ANTINOMY_01_Kick
kick	E:\samples\Batuhan Pehlivan Psytrance Fundamentals Sample Library\Kick\05 Batuhan Pehlivan - Kick_5.wav	Batuhan-Psy-Fundamentals	05 Batuhan Pehlivan - Kick_5
bass	E:\samples\Antinomy Psytrance Sounds Vol.2 WAV MiDi-ARCADiA\ANTINOMY_02_Bassline\ANTINOMY_03_Deep_Bass\ANTINOMY_01_Deep_Bass_C.wav	Antinomy-Psy-Vol2	ANTINOMY_01_Deep_Bass_C
bass	E:\samples\Ascend Psytrance Sample Pack\20 One Shot\Ascend One Shot 18.wav	Ascend-Psytrance	Ascend One Shot 18
bass	E:\samples\Hipotermic PsyTrance Sample Pack\25 Bass Loop\Hipotermic - Bass Loop_142Bpm -  1D.wav	Hipotermic-PsyTrance	Hipotermic - Bass Loop_142Bpm -  1D
lead	E:\samples\Antinomy Psytrance Sounds Vol.2 WAV MiDi-ARCADiA\ANTINOMY_08_One_Shot\ANTINOMY_01_One_Shot_Stab_Full_Octave\ANTINOMY_01_One_Shot_Stab_C.wav	Antinomy-Psy-Vol2	ANTINOMY_01_One_Shot_Stab_C
lead	E:\samples\FLOW36 Psytrance Sample pack Loops 2025\145 BPM_Riff_F#_9.wav	FLOW36-Psytrance	145 BPM_Riff_F#_9
lead	E:\samples\Santo Grau Records WS Dark Psytrance Sample Pack #2\WS#2 - ARP Digital 1.wav	SantoGrau-DarkPsy	WS#2 - ARP Digital 1
lead	E:\samples\Santo Grau Records WS Dark Psytrance Sample Pack #2\WS#2 - Lead FM Fx 2.wav	SantoGrau-DarkPsy	WS#2 - Lead FM Fx 2
hat	E:\samples\Antinomy Psytrance Sounds Vol.2 WAV MiDi-ARCADiA\ANTINOMY_04_Drums\ANTINOMY_03_Clap_&_Snare\ANTINOMY_01_Clap.wav	Antinomy-Psy-Vol2	ANTINOMY_01_Clap
hat	E:\samples\Avalon Psytrance Sample Pack\20 Clap\Avalon - Clap 01.wav	Avalon-Psytrance	Avalon - Clap 01
hat	E:\samples\Batuhan Pehlivan Psytrance Fundamentals Sample Library\Open HH\56 Batuhan Pehlivan - Open HH_8.wav	Batuhan-Psy-Fundamentals	56 Batuhan Pehlivan - Open HH_8
pad	E:\samples\Antinomy Psytrance Sounds Vol.2 WAV MiDi-ARCADiA\ANTINOMY_04_Drums\ANTINOMY_06_Rhythm Loops\ANTINOMY_04_Rhythm Loops_Cinematic_142_Bpm.wav	Antinomy-Psy-Vol2	ANTINOMY_04_Rhythm Loops_Cinematic_142_Bpm
pad	E:\samples\Batuhan Pehlivan Psytrance Fundamentals Sample Library\Atmosphere\25 Batuhan Pehlivan - Atmosphere_7.wav	Batuhan-Psy-Fundamentals	25 Batuhan Pehlivan - Atmosphere_7
pad	E:\samples\Santo Grau Records WS Dark Psytrance Sample Pack #2\WS#2 - FX Atmos 3.wav	SantoGrau-DarkPsy	WS#2 - FX Atmos 3
